Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6309862,Time (Manifold #1),Stephen Baxter,"Baxter, Stephen",,"=""""","=""""",4,3.79,Del Rey,Kindle Edition,467,2003,1999,,2024/09/14,,,read,,,,1,0
25884323,Aurora,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""""","=""""",5,3.77,Orbit,Kindle Edition,517,2015,2015,,2024/09/14,,,read,,,,1,0
18626818,2312,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""""","=""""",5,3.52,Orbit,Kindle Edition,575,2012,2012,,2024/09/14,,,read,,,,1,0
6572579,"Transcendent (Destiny's Children, #3)",Stephen Baxter,"Baxter, Stephen",,"=""""","=""""",5,3.86,,Kindle Edition,512,,2005,,2024/09/14,,,read,,,,1,0
6572580,Coalescent (Destiny's Children #1),Stephen Baxter,"Baxter, Stephen",,"=""""","=""""",5,3.80,Del Rey,Kindle Edition,544,2003,2003,,2024/09/14,,,read,,,,1,0
6572577,"Exultant (Destiny's Children, #2)",Stephen Baxter,"Baxter, Stephen",,"=""""","=""""",5,3.87,,Kindle Edition,512,,2004,,2024/09/14,,,read,,,,1,0
25709214,"Linesman (Linesman, #1)",S.K. Dunstall,"Dunstall, S.K.",,"=""0698187660""","=""""",5,4.03,Ace,Kindle Edition,373,2015,2015,,2024/09/14,,,read,,,,1,0
25693377,Valkyrie 4,Todd Shryock,"Shryock, Todd",,"=""""","=""""",5,3.95,,Kindle Edition,342,2015,2015,,2024/09/14,,,read,,,,1,0
20769116,"The Enemy Within (Omega Force, #4)",Joshua Dalzelle,"Dalzelle, Joshua",,"=""""","=""""",5,4.35,,Kindle Edition,252,2014,2014,,2024/09/14,,,read,,,,1,0
22699930,"Return of the Archon (Omega Force, #5)",Joshua Dalzelle,"Dalzelle, Joshua",,"=""""","=""""",5,4.38,Amazon Digital Services,Kindle Edition,325,2014,2014,,2024/09/14,,,read,,,,1,0
23345291,"Secret of the Phoenix (Omega Force, #6)",Joshua Dalzelle,"Dalzelle, Joshua",,"=""""","=""""",5,4.43,,Kindle Edition,256,2014,2014,,2024/09/14,,,read,,,,1,0
25729359,"Space Carrier Avalon (Castle Federation, #1)",Glynn Stewart,"Stewart, Glynn",,"=""""","=""""",5,4.17,Faolan's Pen Publishing Inc.,Kindle Edition,343,2015,2015,,2024/09/14,,,read,,,,1,0
25761342,"Battle Cruiser (Lost Colonies Trilogy, #1)",B.V. Larson,"Larson, B.V.",,"=""""","=""""",5,3.92,,Kindle Edition,409,2015,2015,,2024/09/14,,,read,,,,1,0
19388918,Omega Force Series Omnibus,Joshua Dalzelle,"Dalzelle, Joshua",,"=""""","=""""",5,4.12,,Kindle Edition,804,2014,2013,,2024/09/14,,,read,,,,1,0
25647436,Slow Bullets,Alastair Reynolds,"Reynolds, Alastair",,"=""1616961953""","=""9781616961954""",5,3.61,Tachyon Publications,Kindle Edition,192,2015,2015,,2024/09/14,,,read,,,,1,0
22853297,"Tech World (Undying Mercenaries, #3)",B.V. Larson,"Larson, B.V.",,"=""""","=""""",5,4.11,,Kindle Edition,374,2014,2014,,2024/09/14,,,read,,,,1,0
25652274,"Call to Arms (Black Fleet Trilogy, #2)",Joshua Dalzelle,"Dalzelle, Joshua",,"=""""","=""""",5,4.13,,Kindle Edition,332,2015,2015,,2024/09/14,,,read,,,,1,0
25176962,"Redemption (Omega Force, #7)",Joshua Dalzelle,"Dalzelle, Joshua",,"=""""","=""""",5,4.43,,Kindle Edition,287,2015,2015,,2024/09/14,,,read,,,,1,0
